gene_id	resource_in_FunGen_xQTL	data_resources	chr	start	end	gene_name
ENSG00000095015	ColocBoost	FunGen_xQTL	5	56815548	56815549	MAP3K1
ENSG00000095585	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	10	96271586	96271587	BLNK
ENSG00000095637	ColocBoost	FunGen_xQTL	10	95561413	95561414	SORBS1
ENSG00000095970	ColocBoost	FunGen_xQTL,ADSP_GVC	6	41163185	41163186	TREM2
ENSG00000099617	""	FunGen_AD_PI	19	1285872	1285873	EFNA2
ENSG00000099992	ColocBoost	FunGen_xQTL	22	30326946	30326947	TBC1D10A
ENSG00000100299	""	FunGen_AD_PI	22	50628172	50628173	ARSA
ENSG00000100599	ColocBoost,single_context	FunGen_xQTL,ADSP_GVC,FunGen_AD_PI	14	92513780	92513781	RIN3
ENSG00000101109	single_context,multi_context,MetaBrain	FunGen_xQTL	20	44966478	44966479	STK4
ENSG00000101307	ColocBoost	FunGen_xQTL	20	1620060	1620061	SIRPB1
ENSG00000102531	ColocBoost	FunGen_xQTL	13	48975911	48975912	FNDC3A
ENSG00000102879	ColocBoost	FunGen_xQTL	16	30182826	30182827	CORO1A
ENSG00000102882	ColocBoost	FunGen_xQTL	16	30123505	30123506	MAPK3
ENSG00000103356	ColocBoost	FunGen_xQTL	16	23557730	23557731	EARS2
ENSG00000103365	ColocBoost	FunGen_xQTL	16	23521994	23521995	GGA2
ENSG00000103496	ColocBoost	FunGen_xQTL	16	31032888	31032889	STX4
ENSG00000103507	ColocBoost	FunGen_xQTL	16	31106106	31106107	BCKDK
ENSG00000103510	ColocBoost	FunGen_xQTL	16	31114488	31114489	KAT8
ENSG00000103540	ColocBoost	FunGen_xQTL	16	19523810	19523811	CCP110
ENSG00000103550	ColocBoost	FunGen_xQTL	16	19718226	19718227	KNOP1
ENSG00000103569	""	FunGen_AD_PI	15	58138168	58138169	AQP9
ENSG00000103811	ColocBoost	FunGen_xQTL	15	78949573	78949574	CTSH
ENSG00000104853	MetaBrain,ColocBoost	FunGen_xQTL	19	44954590	44954591	CLPTM1
ENSG00000104972	single_context,multi_context	FunGen_xQTL	19	54617157	54617158	LILRB1
ENSG00000105383	single_context,ColocBoost	FunGen_xQTL	19	51225063	51225064	CD33
ENSG00000105538	ColocBoost	FunGen_xQTL	19	48740609	48740610	RASIP1
ENSG00000105767	ColocBoost	FunGen_xQTL	19	43639849	43639850	CADM4
ENSG00000106261	ColocBoost	FunGen_xQTL	7	100015571	100015572	ZKSCAN1
ENSG00000106460	ColocBoost,single_context,multi_context	FunGen_xQTL	7	12211269	12211270	TMEM106B
ENSG00000107679	ColocBoost,single_context,multi_context	FunGen_xQTL	10	122374695	122374696	PLEKHA1
ENSG00000107829	ColocBoost	FunGen_xQTL	10	101695294	101695295	FBXW4
ENSG00000108064	ColocBoost	FunGen_xQTL	10	58385344	58385345	TFAM
ENSG00000108219	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	10	80454165	80454166	TSPAN14
ENSG00000108556	ColocBoost	FunGen_xQTL	17	4934437	4934438	CHRNE
ENSG00000108559	ColocBoost	FunGen_xQTL	17	5419675	5419676	NUP88
ENSG00000108588	""	FunGen_AD_PI	17	63776350	63776351	CCDC47
ENSG00000108797	ColocBoost	FunGen_xQTL	17	42682530	42682531	CNTNAP1
ENSG00000108798	""	ADSP_GVC	17	49210410	49210411	ABI3
ENSG00000109919	MetaBrain	FunGen_xQTL	11	47642606	47642607	MTCH2
ENSG00000109920	""	FunGen_AD_PI	11	47767442	47767443	FNBP4
ENSG00000110048	""	FunGen_AD_PI	11	59615773	59615774	OSBP
ENSG00000110077	""	ADSP_GVC	11	60184665	60184666	MS4A6A
ENSG00000110514	""	FunGen_AD_PI	11	47269160	47269161	MADD
ENSG00000112981	ColocBoost	FunGen_xQTL	5	138139427	138139428	NME5
ENSG00000113108	""	ADSP_GVC	5	140564780	140564781	APBB3
ENSG00000113249	single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	5	157059118	157059119	HAVCR1
ENSG00000114480	ColocBoost	FunGen_xQTL	3	81761644	81761645	GBE1
ENSG00000114805	ColocBoost	FunGen_xQTL	3	155745070	155745071	PLCH1
ENSG00000115257	""	FunGen_AD_PI	19	1490751	1490752	PCSK4
ENSG00000115468	""	FunGen_AD_PI	2	232606056	232606057	EFHD1
ENSG00000115970	ColocBoost	FunGen_xQTL	2	43596037	43596038	THADA
ENSG00000117322	ColocBoost,single_context,MetaBrain,multi_gene	FunGen_xQTL	1	207454229	207454230	CR2
ENSG00000119185	ColocBoost	FunGen_xQTL	2	9423527	9423528	ITGB1BP1
ENSG00000119661	ColocBoost	FunGen_xQTL	14	73644874	73644875	DNAL1
ENSG00000120885	ColocBoost,single_context,multi_context	FunGen_xQTL	8	27614699	27614700	CLU
ENSG00000120899	ColocBoost,single_context,multi_context	FunGen_xQTL,FunGen_AD_PI	8	27311481	27311482	PTK2B
ENSG00000120903	""	FunGen_AD_PI	8	27479882	27479883	CHRNA2
ENSG00000121073	ColocBoost	FunGen_xQTL	17	49709013	49709014	SLC35B1
ENSG00000121289	single_context	FunGen_xQTL	19	32971990	32971991	CEP89
ENSG00000122378	ColocBoost	FunGen_xQTL	10	80407828	80407829	PRXL2A
ENSG00000122779	ColocBoost	FunGen_xQTL	7	138460258	138460259	TRIM24
ENSG00000122873	ColocBoost,single_context,multi_context	FunGen_xQTL	10	58269161	58269162	CISD1
ENSG00000123636	ColocBoost	FunGen_xQTL	2	159616568	159616569	BAZ2B
ENSG00000123836	multi_gene	FunGen_xQTL	1	207034365	207034366	PFKFB2
ENSG00000123933	ColocBoost	FunGen_xQTL	4	2262108	2262109	MXD4
ENSG00000124134	single_context,MetaBrain	FunGen_xQTL	20	45101126	45101127	KCNS1
ENSG00000124596	ColocBoost	FunGen_xQTL	6	41097786	41097787	OARD1
ENSG00000125753	ColocBoost	FunGen_xQTL	19	45506578	45506579	VASP
ENSG00000126749	ColocBoost	FunGen_xQTL	12	6970912	6970913	EMG1
ENSG00000127184	ColocBoost	FunGen_xQTL	5	86617927	86617928	COX7C
ENSG00000127415	ColocBoost	FunGen_xQTL	4	986996	986997	IDUA
ENSG00000127418	MetaBrain	FunGen_xQTL	4	1009935	1009936	FGFRL1
ENSG00000127419	ColocBoost	FunGen_xQTL	4	932386	932387	TMEM175
ENSG00000127914	""	FunGen_AD_PI	7	91940839	91940840	AKAP9
ENSG00000128563	ColocBoost	FunGen_xQTL	7	102363871	102363872	PRKRIP1
ENSG00000128918	""	FunGen_AD_PI	15	58497865	58497866	ALDH1A2
ENSG00000128923	ColocBoost,multi_context	FunGen_xQTL	15	58771191	58771192	MINDY2
ENSG00000130202	ColocBoost	FunGen_xQTL	19	44846174	44846175	NECTIN2
ENSG00000130203	""	ADSP_GVC	19	44905790	44905791	APOE
ENSG00000130208	single_context	FunGen_xQTL	19	44914246	44914247	APOC1
ENSG00000130749	ColocBoost	FunGen_xQTL	19	47113775	47113776	ZC3H4
ENSG00000131899	ColocBoost	FunGen_xQTL	17	18225634	18225635	LLGL1
ENSG00000134330	ColocBoost	FunGen_xQTL	2	9473657	9473658	IAH1
ENSG00000134575	MetaBrain	FunGen_xQTL	11	47248905	47248906	ACP2
ENSG00000135077	single_context,multi_gene	FunGen_xQTL	5	157142868	157142869	HAVCR2
ENSG00000135636	ColocBoost	FunGen_xQTL	2	71453721	71453722	DYSF
ENSG00000135766	ColocBoost	FunGen_xQTL	1	231422286	231422287	EGLN1
ENSG00000135823	""	FunGen_AD_PI	1	181023120	181023121	STX6
ENSG00000136536	ColocBoost	FunGen_xQTL	2	159712456	159712457	MARCHF7
ENSG00000136717	single_context,multi_context,ColocBoost	FunGen_xQTL,ADSP_GVC	2	127107287	127107288	BIN1
ENSG00000137642	ColocBoost,single_context	FunGen_xQTL,ADSP_GVC	11	121452313	121452314	SORL1
ENSG00000137845	""	ADSP_GVC,FunGen_AD_PI	15	58749790	58749791	ADAM10
ENSG00000138036	ColocBoost	FunGen_xQTL	2	43774038	43774039	DYNC2LI1
ENSG00000138380	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	2	202912213	202912214	CARF
ENSG00000138439	multi_gene	FunGen_xQTL	2	202634968	202634969	FAM117B
ENSG00000138442	ColocBoost,single_context,multi_gene	FunGen_xQTL	2	203014797	203014798	WDR12
ENSG00000138600	ColocBoost	FunGen_xQTL,FunGen_AD_PI	15	50765705	50765706	SPPL2A
ENSG00000138613	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	15	63276017	63276018	APH1B
ENSG00000138668	ColocBoost	FunGen_xQTL	4	82374502	82374503	HNRNPD
ENSG00000138942	ColocBoost	FunGen_xQTL	22	31160181	31160182	RNF185
ENSG00000139405	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	12	113185525	113185526	RITA1
ENSG00000139629	ColocBoost	FunGen_xQTL	12	51392866	51392867	GALNT6
ENSG00000140379	ColocBoost	FunGen_xQTL	15	79971195	79971196	BCL2A1
ENSG00000140451	ColocBoost	FunGen_xQTL	15	64825667	64825668	PIF1
ENSG00000140743	ColocBoost	FunGen_xQTL	16	22437164	22437165	CDR2
ENSG00000141258	ColocBoost	FunGen_xQTL	17	2337497	2337498	SGSM2
ENSG00000141441	ColocBoost	FunGen_xQTL	18	32470881	32470882	GAREM1
ENSG00000141480	""	FunGen_AD_PI	17	4710595	4710596	ARRB2
ENSG00000142002	single_context	FunGen_xQTL	19	4724672	4724673	DPP9
ENSG00000142192	ColocBoost,multi_context	FunGen_xQTL,ADSP_GVC	21	26171127	26171128	APP
ENSG00000142230	ColocBoost	FunGen_xQTL	19	47113273	47113274	SAE1
ENSG00000142233	ColocBoost	FunGen_xQTL	19	48673080	48673081	NTN5
ENSG00000143801	""	ADSP_GVC,FunGen_AD_PI	1	226870183	226870184	PSEN2
ENSG00000143889	ColocBoost	FunGen_xQTL	2	38603585	38603586	HNRNPLL
ENSG00000144426	single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	2	203014878	203014879	NBEAL1
ENSG00000145214	single_context,multi_context,multi_gene	FunGen_xQTL	4	986894	986895	DGKQ
ENSG00000145715	ColocBoost	FunGen_xQTL	5	87267882	87267883	RASA1
ENSG00000145850	single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	5	156963225	156963226	TIMD4
ENSG00000145901	single_context,multi_context,ColocBoost	FunGen_xQTL	5	151093576	151093577	TNIP1
ENSG00000146090	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	5	180209210	180209211	RASGEF1C
ENSG00000146094	single_context	FunGen_xQTL	5	177511273	177511274	DOK3
ENSG00000146648	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	7	55019016	55019017	EGFR
ENSG00000146828	""	FunGen_AD_PI	7	100826819	100826820	SLC12A9
ENSG00000146834	""	FunGen_AD_PI	7	100428816	100428817	MEPCE
ENSG00000146904	single_context	FunGen_xQTL,ADSP_GVC,FunGen_AD_PI	7	143408855	143408856	EPHA1
ENSG00000148429	ColocBoost,single_context,multi_context	FunGen_xQTL	10	11611753	11611754	USP6NL
ENSG00000149187	ColocBoost,single_context	FunGen_xQTL,FunGen_AD_PI	11	47565568	47565569	CELF1
ENSG00000149926	ColocBoost	FunGen_xQTL	16	30052977	30052978	TLCD3B
ENSG00000149927	ColocBoost	FunGen_xQTL,FunGen_AD_PI	16	30023269	30023270	DOC2A
ENSG00000149930	ColocBoost	FunGen_xQTL	16	29973867	29973868	TAOK2
ENSG00000149932	ColocBoost	FunGen_xQTL	16	29940884	29940885	TMEM219
ENSG00000150672	""	FunGen_AD_PI	11	85627921	85627922	DLG2
ENSG00000150687	single_context	FunGen_xQTL	11	86791058	86791059	PRSS23
ENSG00000151151	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	10	58267893	58267894	IPMK
ENSG00000151694	ColocBoost	FunGen_xQTL	2	9556731	9556732	ADAM17
ENSG00000152128	single_context,multi_gene	FunGen_xQTL	2	134718999	134719000	TMEM163
ENSG00000153048	""	FunGen_AD_PI	16	8869011	8869012	CARHSP1
ENSG00000153814	ColocBoost,single_context,multi_context	FunGen_xQTL	7	28180794	28180795	JAZF1
ENSG00000154124	ColocBoost	FunGen_xQTL	5	14664663	14664664	OTULIN
ENSG00000154727	ColocBoost	FunGen_xQTL	21	25734569	25734570	GABPA
ENSG00000156170	ColocBoost	FunGen_xQTL	8	94895766	94895767	NDUFAF6
ENSG00000157350	single_context	FunGen_xQTL	16	70439236	70439237	ST3GAL2
ENSG00000157423	ColocBoost	FunGen_xQTL	16	71230721	71230722	HYDIN
ENSG00000157483	""	FunGen_AD_PI	15	59372870	59372871	MYO1E
ENSG00000157800	single_context	FunGen_xQTL	7	140404309	140404310	SLC37A3
ENSG00000158869	ColocBoost	FunGen_xQTL	1	161215233	161215234	FCER1G
ENSG00000159640	ColocBoost	FunGen_xQTL	17	63477060	63477061	ACE
ENSG00000159784	single_context	FunGen_xQTL	7	143362724	143362725	FAM131B
ENSG00000159840	ColocBoost,single_context	FunGen_xQTL	7	143381294	143381295	ZYX
ENSG00000161640	ColocBoost	FunGen_xQTL	19	49961171	49961172	SIGLEC11
ENSG00000161929	ColocBoost	FunGen_xQTL	17	5234859	5234860	SCIMP
ENSG00000163596	single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	2	202871765	202871766	ICA1L
ENSG00000163872	ColocBoost	FunGen_xQTL	3	183697796	183697797	YEATS2
ENSG00000164733	ColocBoost	FunGen_xQTL	8	11869532	11869533	CTSB
ENSG00000164938	ColocBoost	FunGen_xQTL	8	94949377	94949378	TP53INP1
ENSG00000164941	ColocBoost	FunGen_xQTL	8	94813310	94813311	INTS8
ENSG00000165029	ColocBoost	FunGen_xQTL	9	104928154	104928155	ABCA1
ENSG00000165806	""	ADSP_GVC	10	113679161	113679162	CASP7
ENSG00000165915	ColocBoost,single_context,MetaBrain	FunGen_xQTL,FunGen_AD_PI	11	47407131	47407132	SLC39A13
ENSG00000166033	single_context	FunGen_xQTL	10	122458550	122458551	HTRA1
ENSG00000166578	ColocBoost,single_context,multi_context	FunGen_xQTL	12	113221093	113221094	IQCD
ENSG00000166794	ColocBoost	FunGen_xQTL	15	64163133	64163134	PPIB
ENSG00000166900	ColocBoost	FunGen_xQTL	11	59713455	59713456	STX3
ENSG00000166925	ColocBoost	FunGen_xQTL	7	100479231	100479232	TSC22D4
ENSG00000167191	ColocBoost	FunGen_xQTL	16	19886166	19886167	GPRC5B
ENSG00000167380	ColocBoost	FunGen_xQTL	19	44165072	44165073	ZNF226
ENSG00000167395	ColocBoost	FunGen_xQTL	16	31074421	31074422	ZNF646
ENSG00000167711	ColocBoost	FunGen_xQTL	17	1742835	1742836	SERPINF2
ENSG00000167716	ColocBoost	FunGen_xQTL	17	1716522	1716523	WDR81
ENSG00000167840	ColocBoost	FunGen_xQTL	17	5123115	5123116	ZNF232
ENSG00000168077	single_context,multi_context,MetaBrain	FunGen_xQTL	8	27633867	27633868	SCARA3
ENSG00000168421	ColocBoost	FunGen_xQTL	4	40191052	40191053	RHOH
ENSG00000168434	ColocBoost	FunGen_xQTL	16	23453188	23453189	COG7
ENSG00000168918	ColocBoost,single_context,multi_context,MetaBrain	FunGen_xQTL	2	233059966	233059967	INPP5D
ENSG00000168993	ColocBoost	FunGen_xQTL	4	826128	826129	CPLX1
ENSG00000169247	ColocBoost	FunGen_xQTL	5	149063162	149063163	SH3TC2
ENSG00000169592	ColocBoost	FunGen_xQTL	16	29995714	29995715	INO80E
ENSG00000172803	""	FunGen_AD_PI	11	65833942	65833943	SNX32
ENSG00000173064	ColocBoost	FunGen_xQTL	12	112382438	112382439	HECTD4
ENSG00000173166	ColocBoost	FunGen_xQTL	2	203535334	203535335	RAPH1
ENSG00000173273	ColocBoost	FunGen_xQTL	8	9555911	9555912	TNKS
ENSG00000174226	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	8	100663414	100663415	SNX31
ENSG00000174498	ColocBoost	FunGen_xQTL	15	65378001	65378002	IGDCC3
ENSG00000174628	ColocBoost	FunGen_xQTL	16	19716455	19716456	IQCK
ENSG00000175175	ColocBoost	FunGen_xQTL	17	58755853	58755854	PPM1E
ENSG00000175309	ColocBoost	FunGen_xQTL	5	178232801	178232802	PHYKPL
ENSG00000175489	ColocBoost	FunGen_xQTL	19	18397621	18397622	LRRC25
ENSG00000176472	ColocBoost	FunGen_xQTL	19	43525496	43525497	ZNF575
ENSG00000176681	ColocBoost	FunGen_xQTL	17	46292732	46292733	LRRC37A
ENSG00000176909	ColocBoost	FunGen_xQTL	19	48719724	48719725	MAMSTR
ENSG00000176974	ColocBoost	FunGen_xQTL	17	18363562	18363563	SHMT1
ENSG00000177731	ColocBoost	FunGen_xQTL	17	18258737	18258738	FLII
ENSG00000178226	ColocBoost	FunGen_xQTL	16	31150065	31150066	PRSS36
ENSG00000178852	ColocBoost,single_context	FunGen_xQTL	17	47323289	47323290	EFCAB13
ENSG00000178950	ColocBoost	FunGen_xQTL	4	932372	932373	GAK
ENSG00000180667	multi_gene	FunGen_AD_PI,FunGen_xQTL	1	207052979	207052980	YOD1
ENSG00000181027	single_context,ColocBoost	FunGen_xQTL	19	46746045	46746046	FKRP
ENSG00000182087	ColocBoost	FunGen_xQTL	19	1021178	1021179	TMEM259
ENSG00000182326	ColocBoost	FunGen_xQTL	12	6988258	6988259	C1S
ENSG00000182541	ColocBoost	FunGen_xQTL	22	31212273	31212274	LIMK2
ENSG00000185899	ColocBoost,single_context	FunGen_xQTL	7	143443452	143443453	TAS2R60
ENSG00000185947	ColocBoost	FunGen_xQTL	16	31873806	31873807	ZNF267
ENSG00000186106	ColocBoost,multi_context,multi_gene	FunGen_xQTL	8	100559783	100559784	ANKRD46
ENSG00000186153	""	FunGen_AD_PI	16	78099429	78099430	WWOX
ENSG00000186815	single_context,multi_context,MetaBrain	FunGen_xQTL	12	113221049	113221050	TPCN1
ENSG00000187116	single_context	FunGen_xQTL	19	54313165	54313166	LILRA5
ENSG00000188037	""	FunGen_AD_PI	7	143316110	143316111	CLCN1
ENSG00000188529	ColocBoost	FunGen_xQTL	1	23980926	23980927	SRSF10
ENSG00000196352	multi_gene	FunGen_xQTL	1	207321531	207321532	CD55
ENSG00000196411	""	FunGen_AD_PI	7	100827522	100827523	EPHB4
ENSG00000196914	ColocBoost	FunGen_xQTL	11	120336412	120336413	ARHGEF12
ENSG00000197405	single_context	FunGen_xQTL	19	47290022	47290023	C5AR1
ENSG00000197943	single_context,ColocBoost	FunGen_xQTL,ADSP_GVC	16	81739096	81739097	PLCG2
ENSG00000198053	ColocBoost	FunGen_xQTL	20	1894166	1894167	SIRPA
ENSG00000198060	ColocBoost	FunGen_xQTL	10	92291166	92291167	MARCHF5
ENSG00000198087	ColocBoost,single_context,multi_context,multi_gene	FunGen_xQTL	6	47477788	47477789	CD2AP
ENSG00000198169	ColocBoost	FunGen_xQTL	8	144755530	144755531	ZNF251
ENSG00000198369	""	FunGen_AD_PI	2	65432636	65432637	SPRED2
ENSG00000198517	ColocBoost	FunGen_xQTL	7	1530701	1530702	MAFK
ENSG00000198740	ColocBoost	FunGen_xQTL	17	49362472	49362473	ZNF652
ENSG00000203710	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL,ADSP_GVC	1	207496146	207496147	CR1
ENSG00000213413	""	FunGen_AD_PI	7	100218240	100218241	PVRIG
ENSG00000213420	""	FunGen_AD_PI	7	100177380	100177381	GPC2
ENSG00000213593	ColocBoost	FunGen_xQTL	11	57712592	57712593	TMX2
ENSG00000213619	ColocBoost	FunGen_xQTL	11	47565335	47565336	NDUFS3
ENSG00000214787	ColocBoost	FunGen_xQTL	11	60243136	60243137	MS4A4E
ENSG00000215045	ColocBoost	FunGen_xQTL	7	6551435	6551436	GRID2IP
ENSG00000218739	ColocBoost	FunGen_xQTL	2	37196487	37196488	CEBPZOS
ENSG00000221838	""	FunGen_AD_PI	7	100101548	100101549	AP4M1
ENSG00000224389	""	FunGen_AD_PI	6	32014794	32014795	C4B
ENSG00000228696	ColocBoost	FunGen_xQTL	17	46361796	46361797	ARL17B
ENSG00000234906	MetaBrain	FunGen_xQTL	19	44946034	44946035	APOC2
ENSG00000238083	ColocBoost	FunGen_xQTL	17	46511510	46511511	LRRC37A2
ENSG00000244731	""	FunGen_AD_PI	6	31982056	31982057	C4A
ENSG00000248672	ColocBoost	FunGen_xQTL	2	159904709	159904710	LY75-CD302
ENSG00000249853	ColocBoost,single_context,multi_context	FunGen_xQTL	6	114343044	114343045	HS3ST5
ENSG00000258465	ColocBoost	FunGen_xQTL	1	160285129	160285130	AL139011.2
ENSG00000260861	ColocBoost	FunGen_xQTL	20	1620008	1620009	AL049634.2
ENSG00000262633	ColocBoost	FunGen_xQTL	17	46923132	46923133	AC005670.2
ENSG00000264813	ColocBoost	FunGen_xQTL	17	63484822	63484823	AC113554.1
ENSG00000267022	ColocBoost	FunGen_xQTL	19	44025353	44025354	AC067968.1
ENSG00000267680	ColocBoost	FunGen_xQTL	19	44094338	44094339	ZNF224
ENSG00000270106	ColocBoost	FunGen_xQTL	1	231528652	231528653	TSNAX-DISC1
ENSG00000272636	ColocBoost	FunGen_xQTL	17	181649	181650	DOC2B
ENSG00000285043	ColocBoost	FunGen_xQTL	16	30053089	30053090	AC093512.2
ENSG00000288674	""	ADSP_GVC,FunGen_AD_PI	1	226870183	226870184	PSEN2
